dataset_name,category,source,last_updated,record_count,file_size_mb
Endpoint Monitoring Dataset 287 2025,Endpoint Monitoring,Internal UBA System,2025-12-19,319862,233.42
Network Logs Dataset 288 2025,Network Logs,Internal ERP Platform,2025-10-04,518781,256.27
Compliance Dataset 289 2025,Compliance,Internal Red Team,2025-08-10,771214,300.84
Network Logs Dataset 290 2025,Network Logs,Internal RDP Server,2025-02-16,241044,232.78
Compliance Dataset 291 2025,Compliance,Internal Red Team,2025-12-11,862322,295.4
Endpoint Monitoring Dataset 292 2025,Endpoint Monitoring,Internal EDR,2025-08-29,545173,374.18
Network Logs Dataset 293 2025,Network Logs,Internal DNS Server,2025-10-27,458058,307.5
Access Logs Dataset 294 2025,Access Logs,Internal Cloud Platform,2025-08-29,365863,171.05
Network Logs Dataset 295 2025,Network Logs,Internal Microservices Platform,2025-02-23,900398,220.37
Access Logs Dataset 296 2025,Access Logs,Internal IAM,2025-05-28,695769,661.45
Compliance Dataset 297 2025,Compliance,Internal Red Team,2025-08-21,93337,35.75
Network Logs Dataset 298 2025,Network Logs,Internal API Gateway,2025-07-26,907924,511.29
Endpoint Monitoring Dataset 299 2025,Endpoint Monitoring,Internal IoT Platform,2025-08-25,434321,64.62
Compliance Dataset 300 2025,Compliance,Internal Audit Team,2025-11-15,794188,435.73
Access Logs Dataset 301 2025,Access Logs,Internal Cloud Platform,2025-04-15,281028,167.01
Network Logs Dataset 302 2025,Network Logs,Internal Monitoring System,2025-12-24,509257,106.58
Compliance Dataset 303 2025,Compliance,Internal SOC,2025-12-30,167071,63.43
Endpoint Monitoring Dataset 304 2025,Endpoint Monitoring,Internal IoT Platform,2025-07-28,98736,29.84
Endpoint Monitoring Dataset 305 2025,Endpoint Monitoring,Internal UBA System,2025-03-02,680172,577.42
Access Logs Dataset 306 2025,Access Logs,Internal PAM,2025-09-18,740677,256.34
Access Logs Dataset 307 2025,Access Logs,Internal IAM,2025-05-05,479975,286.13
Access Logs Dataset 308 2025,Access Logs,Internal App Platform,2025-11-03,533929,412.01
Threat Intelligence Dataset 309 2025,Threat Intelligence,Internal IAM,2025-05-22,811208,657.89
Access Logs Dataset 310 2025,Access Logs,Internal PAM,2025-09-17,281150,235.74
Network Logs Dataset 311 2025,Network Logs,Internal Finance Platform,2025-10-28,609093,608.49
Access Logs Dataset 312 2025,Access Logs,Internal App Platform,2025-08-17,565742,303.19
Network Logs Dataset 313 2025,Network Logs,Internal ERP Platform,2025-10-06,396533,202.16
Network Logs Dataset 314 2025,Network Logs,Internal HR Platform,2025-12-24,251405,154.52
Threat Intelligence Dataset 315 2025,Threat Intelligence,External Intelligence Vendor,2025-01-23,334632,257.75
Access Logs Dataset 316 2025,Access Logs,Internal IAM,2025-12-06,831884,697.68
Threat Intelligence Dataset 317 2025,Threat Intelligence,Internal Email Gateway,2025-01-19,133378,73.63
Compliance Dataset 318 2025,Compliance,Internal Audit Team,2025-02-21,917655,789.67
Endpoint Monitoring Dataset 319 2025,Endpoint Monitoring,Internal IoT Platform,2025-08-22,17093,12.82
Access Logs Dataset 320 2025,Access Logs,Internal App Platform,2025-02-08,493296,396.3
Network Logs Dataset 321 2025,Network Logs,Internal DevOps Platform,2025-11-16,727353,332.93
Endpoint Monitoring Dataset 322 2025,Endpoint Monitoring,Internal DLP,2025-12-12,902085,523.44
Network Logs Dataset 323 2025,Network Logs,Internal Microservices Platform,2025-09-07,915759,537.47
Compliance Dataset 324 2025,Compliance,Internal SCCM,2025-05-01,662820,474.55
Network Logs Dataset 325 2025,Network Logs,Internal HR Platform,2025-02-16,456052,447.16
Endpoint Monitoring Dataset 326 2025,Endpoint Monitoring,Internal UBA System,2025-03-27,728712,269.27
Endpoint Monitoring Dataset 327 2025,Endpoint Monitoring,Internal MDM,2025-06-16,835816,125.8
Network Logs Dataset 328 2025,Network Logs,Internal DevOps Platform,2025-08-09,153640,49.13
Access Logs Dataset 329 2025,Access Logs,External SaaS Provider,2025-12-16,832016,218.03
Threat Intelligence Dataset 330 2025,Threat Intelligence,Internal IAM,2025-11-09,914141,406.14
Threat Intelligence Dataset 331 2025,Threat Intelligence,Internal Email Gateway,2025-10-26,151069,46.68
Network Logs Dataset 332 2025,Network Logs,Internal Monitoring System,2025-05-11,700233,75.95
Access Logs Dataset 333 2025,Access Logs,Internal PAM,2025-12-13,574149,139.05
Access Logs Dataset 334 2025,Access Logs,Internal PAM,2025-10-28,314685,212.43
Access Logs Dataset 335 2025,Access Logs,Internal PAM,2025-08-22,887365,330.02
Access Logs Dataset 336 2025,Access Logs,Internal IAM,2025-02-24,249728,110.69
Network Logs Dataset 337 2025,Network Logs,Internal Firewall,2025-06-01,734247,268.52
Access Logs Dataset 338 2025,Access Logs,Internal PAM,2025-01-05,594419,522.23
Endpoint Monitoring Dataset 339 2025,Endpoint Monitoring,Internal IoT Platform,2025-09-12,874294,798.88
Network Logs Dataset 340 2025,Network Logs,Internal HR Platform,2025-11-07,841886,351.14
Threat Intelligence Dataset 341 2025,Threat Intelligence,External Threat Feed,2025-12-14,793280,594.04
Threat Intelligence Dataset 342 2025,Threat Intelligence,Internal IAM,2025-11-18,678737,91.96
Access Logs Dataset 343 2025,Access Logs,Internal Cloud Platform,2025-10-24,383584,291.19
Endpoint Monitoring Dataset 344 2025,Endpoint Monitoring,Internal DLP,2025-06-17,784790,371.95
Threat Intelligence Dataset 345 2025,Threat Intelligence,External Security Vendor,2025-10-04,920035,896.43
Compliance Dataset 346 2025,Compliance,Internal PKI Server,2025-05-20,871813,216.29
Access Logs Dataset 347 2025,Access Logs,Internal PAM,2025-06-23,844298,171.94
Endpoint Monitoring Dataset 348 2025,Endpoint Monitoring,Internal EDR,2025-04-26,902922,639.89
Access Logs Dataset 349 2025,Access Logs,External SaaS Provider,2025-07-07,95689,77.66
Endpoint Monitoring Dataset 350 2025,Endpoint Monitoring,Internal DLP,2025-10-02,130592,66.51
Network Logs Dataset 351 2025,Network Logs,Internal Firewall,2025-07-15,863367,582.51
Network Logs Dataset 352 2025,Network Logs,Internal API Gateway,2025-12-12,246180,129.08
Compliance Dataset 353 2025,Compliance,Internal PKI Server,2025-06-17,960715,623.58
Endpoint Monitoring Dataset 354 2025,Endpoint Monitoring,Internal UBA System,2025-12-25,317869,217.52
Endpoint Monitoring Dataset 355 2025,Endpoint Monitoring,Internal EDR,2025-01-24,993227,132.59
Access Logs Dataset 356 2025,Access Logs,Internal Cloud Platform,2025-02-19,247205,222.12
Threat Intelligence Dataset 357 2025,Threat Intelligence,External Intelligence Vendor,2025-08-21,390033,274.36
Compliance Dataset 358 2025,Compliance,Internal DevSecOps,2025-10-28,779325,587.56
Access Logs Dataset 359 2025,Access Logs,Internal Cloud Platform,2025-09-08,646558,302.14
Network Logs Dataset 360 2025,Network Logs,Internal RDP Server,2025-12-20,389528,115.12
Access Logs Dataset 361 2025,Access Logs,Internal App Platform,2025-07-05,105180,103.37
Network Logs Dataset 362 2025,Network Logs,Internal ERP Platform,2025-11-27,377096,58.26
Network Logs Dataset 363 2025,Network Logs,Internal HR Platform,2025-03-04,996109,859.87
Access Logs Dataset 364 2025,Access Logs,Internal Cloud Platform,2025-12-06,223409,151.37
Compliance Dataset 365 2025,Compliance,Internal Red Team,2025-01-26,826013,330.54
Threat Intelligence Dataset 366 2025,Threat Intelligence,External Dark Web Feed,2025-02-05,871127,687.01
Threat Intelligence Dataset 367 2025,Threat Intelligence,External Dark Web Feed,2025-04-30,345519,275.36
Compliance Dataset 368 2025,Compliance,Internal Red Team,2025-05-22,901104,888.15
Threat Intelligence Dataset 369 2025,Threat Intelligence,External Threat Feed,2025-03-31,116266,80.8
Endpoint Monitoring Dataset 370 2025,Endpoint Monitoring,Internal EDR,2025-01-08,376644,305.45
Threat Intelligence Dataset 371 2025,Threat Intelligence,External Malware Repo,2025-01-09,183710,62.25
Threat Intelligence Dataset 372 2025,Threat Intelligence,External Intelligence Vendor,2025-09-27,120169,92.66
Access Logs Dataset 373 2025,Access Logs,Internal IAM,2025-07-05,539169,341.99
Access Logs Dataset 374 2025,Access Logs,External SaaS Provider,2025-04-24,992340,648.59
Compliance Dataset 375 2025,Compliance,Internal KMS,2025-08-23,675591,653.72
Endpoint Monitoring Dataset 376 2025,Endpoint Monitoring,Internal UBA System,2025-07-25,447980,321.42
Access Logs Dataset 377 2025,Access Logs,Internal IAM,2025-02-07,943949,163.03
Compliance Dataset 378 2025,Compliance,Internal DevOps Platform,2025-02-03,133321,46.33
Compliance Dataset 379 2025,Compliance,Internal PKI Server,2025-12-31,341981,151.43
Compliance Dataset 380 2025,Compliance,Internal PKI Server,2025-05-31,476755,264.6
Access Logs Dataset 381 2025,Access Logs,Internal Cloud Platform,2025-12-26,120971,104.94
Compliance Dataset 382 2025,Compliance,Internal SOC,2025-08-09,474489,426.7
Access Logs Dataset 383 2025,Access Logs,Internal PAM,2025-08-21,419098,198.82
Endpoint Monitoring Dataset 384 2025,Endpoint Monitoring,Internal DLP,2025-08-07,328704,229.63
Network Logs Dataset 385 2025,Network Logs,Internal DNS Server,2025-12-18,968819,510.41
Endpoint Monitoring Dataset 386 2025,Endpoint Monitoring,Internal MDM,2025-02-17,453855,84.83
Network Logs Dataset 387 2025,Network Logs,Internal DNS Server,2025-10-12,63894,40.11
Compliance Dataset 388 2025,Compliance,Internal PKI Server,2025-06-18,703559,147.75
Network Logs Dataset 389 2025,Network Logs,Internal Microservices Platform,2025-08-05,911260,842.24
Endpoint Monitoring Dataset 390 2025,Endpoint Monitoring,Internal DLP,2025-11-04,328626,136.87
Compliance Dataset 391 2025,Compliance,Internal PKI Server,2025-04-19,163246,112.81
Threat Intelligence Dataset 392 2025,Threat Intelligence,Internal IAM,2025-06-29,887438,533.03
Endpoint Monitoring Dataset 393 2025,Endpoint Monitoring,Internal DLP,2025-10-21,238144,196.83
Compliance Dataset 394 2025,Compliance,Internal PKI Server,2025-01-14,639577,598.76
Network Logs Dataset 395 2025,Network Logs,Internal RDP Server,2025-04-03,287544,210.61
Network Logs Dataset 396 2025,Network Logs,Internal DevOps Platform,2025-06-29,7402,1.95
Threat Intelligence Dataset 397 2025,Threat Intelligence,External Intelligence Vendor,2025-02-05,149766,114.85
Endpoint Monitoring Dataset 398 2025,Endpoint Monitoring,Internal MDM,2025-09-29,226583,99.37
Access Logs Dataset 399 2025,Access Logs,Internal PAM,2025-03-22,389028,148.01
Network Logs Dataset 400 2025,Network Logs,Internal Firewall,2025-11-02,90083,80.63
